#TYPE System.Diagnostics.Process
"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","albd_server","155","93814784","14209024","4038656","19912",,,,,,,,"8",,,,,"155","1476",".","0","",,,,,"19912","19912","4038656","4038656","112088","112088","4214784","4214784","14286848","14286848","107184128","107184128",,,"4038656","4038656",,"albd_server",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"93814784","93814784","False",,,,"14209024","14209024",,
"Process","armsvc","85","43540480","4071424","1335296","7808",,,,,,,,"8",,,,,"85","1388",".","0","",,,,,"7808","7808","1335296","1335296","75584","75584","1454080","1454080","4141056","4141056","46161920","46161920",,,"1335296","1335296",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"43540480","43540480","False",,,,"4071424","4071424",,
"Process","audiodg","137","50851840","16351232","16392192","10624",,,,,,,,"8",,,,,"137","3596",".","0","",,,,,"10624","10624","16392192","16392192","81416","81416","17309696","17309696","17219584","17219584","52764672","52764672",,,"16392192","16392192",,"audiodg",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"50851840","50851840","False",,,,"16351232","16351232",,
"Process","cccredmgr","156","89948160","10379264","4239360","19112",,,,,,,,"8",,,,,"156","1520",".","0","",,,,,"19112","19112","4239360","4239360","102504","102504","4296704","4296704","10420224","10420224","103317504","103317504",,,"4239360","4239360",,"cccredmgr",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"89948160","89948160","False",,,,"10379264","10379264",,
"Process","chrome","149","202919936","40316928","35160064","24312","C:\Users\richard.king\AppData\Local\Google\Chrome\Application\chrome.exe","Google Inc.","0.9672062","29.0.1547.76","29.0.1547.76","Google Chrome","Google Chrome","6",,"False",,"3200","149","1324",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24312","24312","35160064","35160064","232584","232584","45260800","45260800","49713152","49713152","208162816","208162816","True","BelowNormal","35160064","35160064","00:00:00.0624004","chrome","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:21:33 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9672062","00:00:00.9048058","202919936","202919936","False",,,,"40316928","40316928",,
"Process","chrome","874","440651776","152473600","163508224","62056","C:\Users\richard.king\AppData\Local\Google\Chrome\Application\chrome.exe","Google Inc.","13.5408868","29.0.1547.76","29.0.1547.76","Google Chrome","Google Chrome","8",,"False",,"3196","874","1888",".","525990","PowerShell Parameters, Objects, and Formatting | PowerShell Pro! - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","62056","62056","163508224","163508224","486256","486256","177197056","177197056","161886208","161886208","448520192","448520192","True","Normal","163508224","163508224","00:00:05.3196341","chrome","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:21:33 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:13.5408868","00:00:08.2212527","440651776","440651776","False",,,,"152473600","152473600",,
"Process","chrome","174","368115712","79400960","88383488","25016","C:\Users\richard.king\AppData\Local\Google\Chrome\Application\chrome.exe","Google Inc.","1.7628113","29.0.1547.76","29.0.1547.76","Google Chrome","Google Chrome","8",,"False",,"3192","174","2712",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25016","25016","88383488","88383488","367656","367656","155639808","155639808","151375872","151375872","368115712","368115712","True","Normal","88383488","88383488","00:00:00.3744024","chrome","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:21:33 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7628113","00:00:01.3884089","368115712","368115712","False",,,,"79400960","79400960",,
"Process","chrome","154","221077504","71618560","57868288","34872","C:\Users\richard.king\AppData\Local\Google\Chrome\Application\chrome.exe","Google Inc.","8.0028513","29.0.1547.76","29.0.1547.76","Google Chrome","Google Chrome","8",,"False",,"2964","154","4908",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34872","34872","57868288","57868288","242824","242824","72822784","72822784","82935808","82935808","240836608","240836608","True","Normal","57868288","57868288","00:00:00.8892057","chrome","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:21:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.0028513","00:00:07.1136456","221077504","221077504","False",,,,"71618560","71618560",,
"Process","conhost","31","30420992","3252224","1396736","5048",,,,,,,,"8",,,,,"31","1912",".","0","",,,,,"5048","5048","1396736","1396736","62704","62704","1396736","1396736","3252224","3252224","30420992","30420992",,,"1396736","1396736",,"conhost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"30420992","30420992","False",,,,"3252224","3252224",,
"Process","conhost","43","56094720","5419008","2531328","5760",,,"2.2776146",,,,,"8",,"False",,"2884","43","2780",".","0","",,"1413120","204800",,"5760","5760","2531328","2531328","109024","109024","2531328","2531328","5419008","5419008","56094720","56094720","True","Normal","2531328","2531328","00:00:02.0748133","conhost","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:24:42 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.2776146","00:00:00.2028013","56094720","56094720","False",,,,"5419008","5419008",,
"Process","conhost","38","44388352","3821568","1572864","5280",,,"0.0156001",,,,,"8",,"False",,"2880","38","3508",".","0","",,"1413120","204800",,"5280","5280","1572864","1572864","87392","87392","1572864","1572864","3821568","3821568","44388352","44388352","True","Normal","1572864","1572864","00:00:00.0156001","conhost","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:24:25 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156001","00:00:00","44388352","44388352","False",,,,"3821568","3821568",,
"Process","csrss","840","54247424","5488640","2916352","14408",,,,,,,,"13",,,,,"840","436",".","0","",,,,,"14408","14408","2916352","2916352","157160","157160","3059712","3059712","5681152","5681152","57638912","57638912",,,"2916352","2916352",,"csrss",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"54247424","54247424","False",,,,"5488640","5488640",,
"Process","csrss","643","187969536","29011968","38379520","18624",,,,,,,,"13",,,,,"643","500",".","0","",,,,,"18624","18624","38379520","38379520","340240","340240","38379520","38379520","35688448","35688448","283410432","283410432",,,"38379520","38379520",,"csrss",,"True","1","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"187969536","187969536","False",,,,"29011968","29011968",,
"Process","devenv","814","542732288","194084864","173465600","77260",,,,,,,,"8",,,,,"814","1660",".","524878","Start Page - Microsoft Visual Studio (Administrator)",,,,,"77260","77260","173465600","173465600","699768","699768","173989888","173989888","200056832","200056832","552427520","552427520",,,"173465600","173465600",,"devenv",,"True","1","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"542732288","542732288","False",,,,"194084864","194084864",,
"Process","dwm","85","52383744","5652480","2043904","7384",,,"0.0468003",,,,,"8",,"False",,"3384","85","4156",".","0","",,"1413120","204800",,"7384","7384","2043904","2043904","99456","99456","21663744","21663744","9138176","9138176","81420288","81420288","True","Normal","2043904","2043904","00:00:00","dwm","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:03:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468003","00:00:00.0468003","52383744","52383744","False",,,,"5652480","5652480",,
"Process","EXCEL","969","243843072","45617152","25776128","49344","C:\Program Files (x86)\Microsoft Office\Office12\EXCEL.EXE","Microsoft Corporation","6.9420445","12.0.6679.5000","12.0.6679.5000","Microsoft Office Excel","2007 Microsoft Office system","8",,"False",,"3380","969","3480",".","788034","Microsoft Excel - EncyclopediaActivity.xlsx","System.Diagnostics.ProcessModule (EXCEL.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","49344","49344","25776128","25776128","417616","417616","25972736","25972736","45797376","45797376","246403072","246403072","True","Normal","25776128","25776128","00:00:02.4804159","EXCEL","63","True","1","System.Diagnostics.ProcessStartInfo","10/2/2013 10:30:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.9420445","00:00:04.4616286","243843072","243843072","False",,,,"45617152","45617152",,
"Process","explorer","1251","286437376","227999744","47394816","53376",,,"34.32022",,,,,"8",,"False",,"3376","1251","4172",".","1179724","",,"1413120","204800",,"53376","53376","47394816","47394816","479312","479312","92901376","92901376","229527552","229527552","375386112","375386112","True","Normal","47394816","47394816","00:00:17.1757101","explorer","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:03:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:34.3202200","00:00:17.1445099","286437376","286437376","False",,,,"227999744","227999744",,
"Process","explorer","423","202514432","143839232","34942976","36736",,,"17.1757101",,,,,"8",,"False",,"3372","423","4556",".","918218","powershell",,"1413120","204800",,"36736","36736","34942976","34942976","325600","325600","45993984","45993984","146501632","146501632","223813632","223813632","True","Normal","34942976","34942976","00:00:08.9232572","explorer","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:20:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:17.1757101","00:00:08.2524529","202514432","202514432","False",,,,"143839232","143839232",,
"Process","FrameworkService","467","127074304","2449408","13885440","45016",,,,,,,,"6",,,,,"467","1732",".","0","",,,,,"45016","45016","13885440","13885440","120176","120176","16289792","16289792","17776640","17776640","139550720","139550720",,,"13885440","13885440",,"FrameworkService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"127074304","127074304","False",,,,"2449408","2449408",,
"Process","Idle","0","0","24576","0","0",,,,,,,,"0",,,,,"0","0",".","0","",,,,,"0","0","0","0","0","0","0","0","24576","24576","0","0",,,"0","0",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"0","0","False",,,,"24576","24576",,
"Process","Invensys.ALM.Update.Notifier","141","568606720","24453120","25591808","24920",,,"0.2340015",,,,,"8",,"False",,"3388","141","4992",".","0","",,"1413120","204800",,"24920","24920","25591808","25591808","287088","287088","26202112","26202112","24862720","24862720","580169728","580169728","True","Normal","25591808","25591808","00:00:00.0780005","Invensys.ALM.Update.Notifier","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:03:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2340015","00:00:00.1560010","568606720","568606720","False",,,,"24453120","24453120",,
"Process","Invensys.ALMUpdates","264","603066368","43859968","41766912","31448",,,,,,,,"8",,,,,"264","3128",".","0","",,,,,"31448","31448","41766912","41766912","353264","353264","43270144","43270144","45322240","45322240","608571392","608571392",,,"41766912","41766912",,"Invensys.ALMUpdates",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"603066368","603066368","False",,,,"43859968","43859968",,
"Process","Invensys.ALMUpdateService","419","594767872","38633472","38002688","28264",,,,,,,,"8",,,,,"419","1636",".","0","",,,,,"28264","28264","38002688","38002688","353104","353104","38772736","38772736","39264256","39264256","600797184","600797184",,,"38002688","38002688",,"Invensys.ALMUpdateService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"594767872","594767872","False",,,,"38633472","38633472",,
"Process","iviRegMgr","89","32198656","4341760","1265664","7808",,,,,,,,"8",,,,,"89","4208",".","0","",,,,,"7808","7808","1265664","1265664","54736","54736","1429504","1429504","4366336","4366336","36130816","36130816",,,"1265664","1265664",,"iviRegMgr",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"32198656","32198656","False",,,,"4341760","4341760",,
"Process","jusched","50","65957888","4083712","1220608","7088","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","Oracle Corporation","0.0312002","2.1.9.4","2.1.9.4","Java(TM) Update Scheduler","Java(TM) Platform SE Auto Updater","8",,"False",,"2400","50","5080",".","0","","System.Diagnostics.ProcessModule (jusched.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7088","7088","1220608","1220608","126360","126360","1241088","1241088","4087808","4087808","67072000","67072000","True","Normal","1220608","1220608","00:00:00.0312002","jusched","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:03:46 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312002","00:00:00","65957888","65957888","False",,,,"4083712","4083712",,
"Process","lockmgr","82","51953664","4722688","1708032","10664",,,,,,,,"8",,,,,"82","1672",".","0","",,,,,"10664","10664","1708032","1708032","66280","66280","1765376","1765376","4751360","4751360","56414208","56414208",,,"1708032","1708032",,"lockmgr",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"51953664","51953664","False",,,,"4722688","4722688",,
"Process","lsass","1010","59985920","43229184","10596352","28304",,,,,,,,"9",,,,,"1010","572",".","0","",,,,,"28304","28304","10596352","10596352","112616","112616","10747904","10747904","43429888","43429888","65228800","65228800",,,"10596352","10596352",,"lsass",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"59985920","59985920","False",,,,"43229184","43229184",,
"Process","lsm","227","33828864","6615040","3354624","10240",,,,,,,,"8",,,,,"227","580",".","0","",,,,,"10240","10240","3354624","3354624","63232","63232","3887104","3887104","6709248","6709248","36450304","36450304",,,"3354624","3354624",,"lsm",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"33828864","33828864","False",,,,"6615040","6615040",,
"Process","mcshield","693","301084672","78721024","130691072","32384",,,,,,,,"8",,,,,"693","2276",".","0","",,,,,"32384","32384","130691072","130691072","134616","134616","422834176","422834176","497491968","497491968","907657216","907657216",,,"130691072","130691072",,"mcshield",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"301084672","301084672","False",,,,"78721024","78721024",,
"Process","McTray","292","120053760","954368","7835648","24160","C:\Program Files (x86)\McAfee\Common Framework\McTray.exe","McAfee, Inc.","0.4212027","2.1.1.903","","McTray Application","McAfee System Tray","8",,"False",,"1396","292","4012",".","0","","System.Diagnostics.ProcessModule (McTray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24160","24160","7835648","7835648","192104","192104","8323072","8323072","11628544","11628544","121430016","121430016","True","Normal","7835648","7835648","00:00:00.1872012","McTray","63","True","1","System.Diagnostics.ProcessStartInfo","10/1/2013 5:03:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4212027","00:00:00.2340015","120053760","120053760","False",,,,"954368","954368",,
"Process","mfeann","206","73625600","4714496","4591616","19216",,,,,,,,"8",,,,,"206","1892",".","0","",,,,,"19216","19216","4591616","4591616","104928","104928","4960256","4960256","8249344","8249344","78884864","78884864",,,"4591616","4591616",,"mfeann",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"73625600","73625600","False",,,,"4714496","4714496",,
